source,name,disposition,flag_confirmed,planet_class,ra,dec,pl_rade,pl_masse,pl_density,pl_orbper,pl_insol,pl_eqt,st_teff,st_logg,st_rad,stellar_flux_proxy,distance_pc,mag
TESS,TOI-6779.01,CANDIDATE,0,Neptune+,2822051240.0,-754319530.0,15860000.0,21690362.040820286,2.9975444133978623e-14,13504913.0,98350000000.0,86503900.0,127308000.0,2763460000.0,48580000000.0,6.19923075930708e+53,12950000000.0,4679380000.0
TESS,TOI-678.01,CANDIDATE,0,Neptune+,1093307340.0,-555979290.0,44750093.0,54037925.61312287,3.324491424467412e-15,113298459.0,8211284780.0,34134506.0,109162000.0,2058470000.0,56240000000.0,4.49134648311169e+53,8079481883.0,1007059307.0
TESS,TOI-6780.01,CANDIDATE,0,Neptune+,3244803010.0,-664366720.0,40730000.0,49742164.668441035,4.058726855533263e-15,134570562.0,112820000000.0,102486000.0,130863000.0,6247320000.0,57710000000.0,9.767190026800705e+53,8020000000.0,689842000.0
TESS,TOI-6781.01,CANDIDATE,0,Neptune+,2906716420.0,-620228590.0,15590000.0,21365082.854563612,3.108669915708488e-14,27638775.0,74510000000.0,119271000.0,130965000.0,8478310000.0,61550000000.0,1.1144923804259466e+54,12400000000.0,3928820000.0
TESS,TOI-6782.01,CANDIDATE,0,Neptune+,2877013320.0,-365156100.0,27710000.0,35442156.80621312,9.18372646399102e-15,17278017.0,178250000000.0,171580000.0,132542000.0,9000720000.0,64600000000.0,1.2878910182860924e+54,19910000000.0,26108800000.0
TESS,TOI-6783.01,CANDIDATE,0,Neptune+,3093457950.0,-387236320.0,19840000.0,26414151.6973752,1.8647475221066945e-14,60368213.0,1083610000000.0,133128000.0,145979000.0,1615610000.0,34450000000.0,5.389394683362658e+53,4440000000.0,64706500.0
TESS,TOI-6784.01,CANDIDATE,0,Neptune+,2832700160.0,-383994660.0,40230000.0,49204410.00280082,4.1664128831306e-15,31539313.0,147720000000.0,155528000.0,131622000.0,11812600000.0,66100000000.0,1.3113446884465223e+54,18610000000.0,19951900000.0
TESS,TOI-6785.01,CANDIDATE,0,Neptune+,3065300710.0,-555400660.0,74870000.0,84994513.65159395,1.116543810134451e-15,162501976.0,29300000000.0,80474400.0,119955000.0,6017430000.0,61770000000.0,7.900027861895443e+53,10750000000.0,2218830000.0
TESS,TOI-6786.01,CANDIDATE,0,Neptune+,2827333860.0,-375346170.0,34400000.0,42871771.51426831,5.806366915310786e-15,27142282.0,230210000000.0,177291000.0,133278000.0,7643250000.0,60630000000.0,1.1598691690466171e+54,16400000000.0,12037700000.0
TESS,TOI-6787.01,CANDIDATE,0,Neptune+,2887021620.0,-542425150.0,34380000.0,42849836.35422065,5.813530096246616e-15,29588636.0,86050000000.0,162010000.0,118193000.0,6449370000.0,64050000000.0,8.005810255413713e+53,16990000000.0,13857300000.0
TESS,TOI-6788.01,CANDIDATE,0,Neptune+,2909722570.0,-541490680.0,39070000.0,47953708.82120828,4.433026655666602e-15,240923580.0,144050000000.0,124646000.0,131004000.0,5271810000.0,53880000000.0,8.550537175289605e+53,5320000000.0,133603000.0
