"toi","tid","tfopwg_disp","rastr","ra","decstr","dec","st_pmra","st_pmdec","pl_tranmid","pl_orbper","pl_trandurh","pl_trandep","pl_rade","pl_insol","pl_eqt","st_tmag","st_dist","st_teff","st_logg","st_rad","toi_created","rowupdate"
"5068.01","366631954","KP","08h40m43.21s","1301800 460","+10d58m58.62s","109829 510","-651620 000","14170 000","24602770775 870","47369 669","25800 000","12380000 000","29392 400","3075220 000","11660000 000","111704 000","1548300 000","50692000 000","44600 000","0.7900000","06.01.2022 23:39","02.02.2024 10:08"
"5069.01","381360757","PC","03h07m41s","469208 380","+15d19m28.86s","153246 830","72640 000","-427850 000","24595191074 260","88558 739","61440 000","2800000 000","30140 000","5994450 000","13780000 000","96367 900","2310140 000","63320000 000","39900 000","18700 000","06.01.2022 23:39","24.10.2022 12:03"
"507.01","348538431","PC","08h06m31.1s","1216295 790","-15d45m52.88s","-157646 900","478010 000","-152980 000","24599636233 660","0.8994677","12066 668","587683536 154","171200 078","1334667 668","8668813 273","132304 000","1108840 000","33380000 000","49469 000","0.5050780","14.03.2019 21:38","10.08.2023 16:02"
"5070.01","319968129","FP","06h21m13.42s","953059 140","+20d52m42.65s","208785 130","-105500 000","31580 000","24602853295 510","62169 940","27590 000","20600000 000","74648 800","6999590 000","14320000 000","103879 000","2864300 000","63040000 000","41600 000","15400 000","06.01.2022 23:39","18.11.2024 16:02"
"5071.01","307733361","KP","08h38m24.26s","1296010 860","+20d06m21.63s","201060 070","-361440 000","-130140 000","24602843085 840","16739 029","13550 000","8630000 000","34444 900","7571670 000","14610000 000","100121 000","1889590 000","61155000 000","43300 000","12200 000","06.01.2022 23:39","02.02.2024 10:08"
"5072.01","7059054","KP","08h27m44.8s","1269366 620","+17d34m45.58s","175793 270","-138710 000","-147120 000","24602550170 050","51857 680","23560 000","130020000 000","75039 900","1268770 000","9350000 000","122440 000","1693980 000","46648000 000","46800 000","0.6500000","06.01.2022 23:39","17.01.2024 10:08"
"5073.01","458686969","PC","08h55m27.98s","1338665 990","+10d02m43.12s","100453 100","-37230 000","64270 000","24602825148 490","31393 667","39570 000","110870000 000","159004 000","9631970 000","15970000 000","133042 000","9107340 000","56534000 000","40800 000","15200 000","06.01.2022 23:39","14.02.2025 12:03"
"5074.01","6893917","KP","08h22m28.18s","1256174 070","+13d44m07.11s","137353 090","-254280 000","-20140 000","24595023949 450","30801 795","34870 958","89264323 460","170613 000","33318707 078","19377234 037","90209 700","2265000 000","75110000 000","42100 000","17016 900","06.01.2022 23:39","26.11.2024 16:02"
"5075.01","23113034","FP","04h03m21.19s","608383 040","+25d20m37.71s","253438 080","-124180 000","-51130 000","24602563424 090","17134 571","14330 000","3550000 000","49546 200","41811400 000","22400000 000","83482 000","2469680 000","86380000 000","39300 000","26400 000","06.01.2022 23:39","13.12.2023 16:02"
"5076.01","303432813","CP","03h22m02.5s","505104 170","+17d14m21.15s","172392 090","1687930 000","-1759750 000","24602508810 840","234428 912","43920 000","16230000 000","30261 800","128373 000","5270000 000","99909 000","828570 000","47944000 000","44700 000","0.8500000","06.01.2022 23:39","18.09.2024 10:08"
"5077.01","87873211","PC","07h10m07.87s","1075327 760","+25d49m09.6s","258193 320","82230 000","246310 000","24602812272 320","58879 518","35340 000","7470000 000","91904 400","31055400 000","20790000 000","95129 700","2087210 000","56410000 000","38500 000","19700 000","06.01.2022 23:39","01.02.2024 16:02"
"5078.01","303523128","PC","03h25m27.7s","513653 990","+13d30m26.96s","135074 880","173310 000","233900 000","24602586036 640","15110 224","12320 000","4080000 000","14733 900","5459000 000","13460000 000","97119 000","535790 000","45950000 000","46300 000","0.6800000","06.01.2022 23:39","18.11.2024 16:02"
"5079.01","69672493","FP","05h09m34.76s","773948 390","+24d19m28.17s","243244 930","750310 000","-1861320 000","24602570967 650","14920 726","15940 000","9070000 000","22348 200","6543390 000","14090000 000","96429 010","773109 000","51250000 000","45600 000","0.8100000","06.01.2022 23:39","20.12.2023 10:08"
"508.01","425206121","KP","07h26m02.29s","1115095 290","+07d36m56.79s","76157 760","-28500 000","-13710 000","24592227897 200","46117 328","40650 000","118900000 000","187958 000","14606700 000","17220000 000","96540 000","3002760 000","73460000 000","41420 800","16700 000","14.03.2019 21:38","29.10.2021 12:59"
"5080.01","17409453","KP","04h24m56.73s","662363 640","+18d49m38.5s","188273 620","259650 000","-136420 000","24602431905 010","97266 500","45840 000","22870000 000","72387 100","3617390 000","12140000 000","129285 000","4912420 000","55836000 000","41100 000","14500 000","06.01.2022 23:39","14.12.2023 16:02"
"5081.01","203214138","KP","08h58m45.67s","1346902 800","+20d52m08.32s","208689 790","-26210 000","-296970 000","24602803813 010","51699 026","19720 000","31100000 000","92358 700","5621840 000","13560000 000","105649 000","3065700 000","62834000 000","41800 000","14800 000","06.01.2022 23:39","01.02.2024 16:02"
"5082.01","437011608","CP","07h06m16.7s","1065695 780","+22d40m59.33s","226831 480","-923480 000","-788170 000","24602848026 430","42403 543","23530 000","8420000 000","26430 100","2556370 000","11130000 000","76253 000","431406 000","56700000 000","45000 000","0.9300000","06.01.2022 23:39","21.04.2025 12:03"
"5083.01","5882269","KP","05h16m33.79s","791407 970","+20d15m17.65s","202549 030","250000 000","-459380 000","24602517506 960","47948 642","22450 000","22800000 000","33985 000","1186380 000","9190000 000","120394 000","1072720 000","40720000 000","46200 000","0.6500000","06.01.2022 23:39","17.01.2024 10:08"
"5084.01","438260486","PC","03h03m49.09s","459545 610","+20d06m38.12s","201105 880","316630 000","-649660 000","24602529918 560","58321 337","20390 000","2740000 000","11555 400","498722 000","7400000 000","75640 000","213575 000","45440000 000","45400 000","0.7500000","06.01.2022 23:39","03.01.2024 10:08"
"5085.01","6785559","PC","05h25m44.04s","814334 880","+20d32m38.66s","205440 710","-86110 000","258890 000","24595469257 410","45117 148","44800 000","5500000 000","28939 800","9216980 000","15350000 000","101125 000","1966620 000","57850000 000","41900 000","13500 000","06.01.2022 23:39","15.02.2024 12:03"
"5086.01","178217113","KP","08h30m18.89s","1275787 230","+22d14m09.31s","222359 190","-141960 000","10460 000","24602568129 670","29956 366","22870 000","77780000 000","131937 000","9635660 000","15520000 000","110514 000","3486460 000","61355000 000","42100 000","14000 000","06.01.2022 23:39","17.01.2024 10:08"
"5087.01","18310799","KP","04h29m39.09s","674128 610","+22d52m57.24s","228825 670","828740 000","-356170 000","24602530127 600","173070 631","36460 000","19090000 000","37275 000","312616 000","6580000 000","101192 000","592474 000","42306000 000","44800 000","0.7700000","06.01.2022 23:39","17.07.2024 12:02"
"5088.01","234388232","PC","07h31m34s","1128916 810","+12d02m03.99s","120344 420","-898250 000","-364550 000","24602661367 570","103883 213","40560 000","8220000 000","37666 400","11202700 000","16110000 000","93422 000","869438 000","56387000 000","45600 000","0.8700000","06.01.2022 23:39","15.11.2024 16:02"
"5088.02","234388232","PC","07h31m34s","1128916 810","+12d02m03.99s","120344 420","-898250 000","-364550 000","24595212111 190","134155 226","36650 000","5500000 000","15350 600","622227 000","7820000 000","93422 000","869438 000","56387000 000","45600 000","0.8700000","06.01.2022 23:39","29.11.2023 12:02"
