"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag"
"5551228","K04154.01","","FALSE POSITIVE","FALSE POSITIVE","","1","0","1","0","368714790 000","3188424 000","Jan.65","1646 000","1.21E+7","91.06","236.0","0.73","Oct.90","","","5716.00","4.544","0.8720","296497 310","40765 629","15.593"
"11967788","K04021.02","","CANDIDATE","CANDIDATE","0.9940","0","0","0","0","4932119 320","1324538 000","0.0340","314 400","5.05E+5","01.Feb","1372.0","837.01","Jul.50","2","q1_q17_dr25_tce","6422.00","4.219","Jan.10","294034 360","50371 651","13.166"
"7733731","K04022.01","","CANDIDATE","CANDIDATE","0.9990","0","0","0","0","4858194 290","1351450 300","0.0860","535 600","7.63E+5","02.Apr","1685.0","1904.91","25.20","1","q1_q17_dr25_tce","6109.00","3.780","Feb.60","283128 540","43456 860","13.269"
"6862332","K04023.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","119019264 800","3412619 700","0.7900","810 000","1.98E+7","Apr.44","350.0","Mar.53","31.Oct","1","q1_q17_dr25_tce","5754.00","4.534","0.9050","291585 170","42367 229","15.644"
"10714072","K04024.01","Kepler-1541 b","CONFIRMED","CANDIDATE","0.9880","0","0","0","0","8406930 680","1334273 900","0.0150","186 600","1.67E+6","Jan.95","1048.0","285.67","Jun.80","1","q1_q17_dr25_tce","5365.00","Apr.20","Jan.30","283787 020","48029 560","13.801"
"3110177","K07644.01","","CANDIDATE","CANDIDATE","0.9880","0","0","0","0","3399048 140","1346684 000","0.5960","292 200","6.96E+5","0.81","1191.0","477.15","08.Oct","1","q1_q17_dr25_tce","5766.00","4.444","0.9290","289842 860","38237 049","14.803"
"10992011","K04025.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","1","0.974479091","1323724 600","0.2240","186 600","2.21E+6","Jan.19","1513.0","1239.32","25.30","1","q1_q17_dr25_tce","5043.00","4.502","0.8190","298535 490","48419 479","14.655"
"8128247","K04094.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","0","1","3570177 740","1344442 000","0.0940","447 300","7.96E+5","57.36","6119.0","331478.01","Aug.90","1","q1_q17_dr25_tce","3812.00","0.930","69.0010","300604 220","43902 946","13.334"
"6276994","K04095.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","1106011 820","1318359 900","0.5320","257 700","5.29E+5","0.77","1903.0","3093.39","15.50","1","q1_q17_dr25_tce","6241.00","4.450","1.0310","289177 610","41695 171","14.363"
"9674564","K04096.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","1","6873655 305","1324527 832","0.0800","354 150","1.81E+6","Jan.21","906.0","159.51","Mar.40","1","q1_q17_dr25_tce","5668.00","4.492","0.9120","300406 800","46378 941","14.046"
"5942808","K02250.02","Kepler-1814 c","CONFIRMED","CANDIDATE","Jan.00","0","0","0","0","0.626281766","1319059 400","0.5530","118 120","4.33E+6","Jan.76","1711.0","2011.27","31.00","2","q1_q17_dr25_tce","4922.00","4.505","0.8230","285216 670","41282 429","15.622"
"3232249","K07648.01","","CANDIDATE","CANDIDATE","0.9670","0","0","0","0","1183505 016","1317530 300","0.4030","127 500","1.17E+6","0.80","1293.0","658.87","Oct.00","1","q1_q17_dr25_tce","4832.00","4.592","0.7460","290686 400","38355 598","15.424"
